id,key,question,options,option_ordinal
14,MAN1C_W29,"In general, how much pressure, if any, do you think men face these days to join in when other men are talking about women in a sexual way?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
15,MAN1D_W29,"In general, how much pressure, if any, do you think men face these days to be willing to throw a punch if provoked?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
16,MAN1E_W29,"In general, how much pressure, if any, do you think men face these days to be emotionally strong?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
17,BOYSF1A_W29,"When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to be leaders these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
18,BOYSF1B_W29,"When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
19,BOYSF1C_W29,"When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to stand up for themselves these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
20,BOYSF1D_W29,"When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to do well in school these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
21,GIRLSF2A_W29,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to be leaders these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
22,GIRLSF2B_W29,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
23,GIRLSF2C_W29,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
24,GIRLSF2D_W29,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
25,HARASS1A_W32,"When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']","[1.0, 2.0, 3.0]"
26,HARASS1B_W32,"When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding out all the facts are?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']","[1.0, 2.0, 3.0]"
27,HARASS1C_W32,"When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']","[1.0, 2.0, 3.0]"
28,HARASS1D_W32,"When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']","[1.0, 2.0, 3.0]"
29,HARASS2F1_W32,"In the long run, do you think the increased focus on sexual harassment and assault will lead to","['More opportunities for women in the workplace', 'Fewer opportunities for women in the workplace', ""Won't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
30,HARASS3F2_W32,"Do you think the increased focus on sexual harassment and assault has made it easier or harder for men to know how to interact with women in the workplace, or hasn't it made much difference?","['Has made it easier for men', 'Has made it harder for men', ""Hasn't made much difference"", 'Refused']","[1.0, 2.0, 1.5]"
31,WOMENOPPS_W32,Which statement comes closer to your own views?,"['The obstacles that once made it harder for women than men to get ahead are now largely gone', 'There are still significant obstacles that make it harder for women to get ahead than men', 'Refused']","[1.0, 2.0]"
32,STYLE1_W36,"Think about the leadership styles of people in top positions in business and politics. In general, when it comes to their approach to leadership, do you think that","['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
33,STYLE2_W36,"Thinking about the ways in which men and women in top positions in business and politics are different in their approach to leadership, would you say","['Women generally have a better approach', 'Men generally have a better approach', 'Neither is better', 'Refused']","[1.0, 2.0, 1.5]"
34,AMNTWMNPF1_W36,"Thinking about politics today, would you say there are","['Too many women in high political offices', 'Too few women in high political offices', 'About the right number of women in high political offices', 'Refused']","[1.0, 2.0, 1.5]"
35,AMNTWMNP2F1_W36,What do you think would be the ideal situation when it comes to the number of women in high political office?,"['Having more women than there are now but still not as many women as men', 'Having about an equal number of women and men', 'Having more women than men', 'Refused']","[1.0, 2.0, 3.0]"
36,AMNTWMNBF1_W36,"Thinking about business today, would you say there are","['Too many women in top executive business positions', 'Too few women in top executive business positions', 'About the right number of women in top executive business positions', 'Refused']","[1.0, 2.0, 1.5]"
37,AMNTWMNB2F1_W36,What do you think would be the ideal situation when it comes to the number of women in top executive business positions?,"['Having more women than there are now but still not as many women as men', 'Having about an equal number of women and men', 'Having more women than men', 'Refused']","[1.0, 2.0, 3.0]"
38,EASIERBIZF2_W36,"Thinking about top executive positions in business these days, would you say it is generally","['Easier for men to get these positions', 'Easier for women to get these positions', 'Not much difference', 'Refused']","[1.0, 2.0, 1.5]"
39,EASIERPOLF2_W36,"Thinking about high political offices these days, would you say it is generally","['Easier for men to get elected to high political offices', 'Easier for women to get elected to high political offices', 'Not much difference', 'Refused']","[1.0, 2.0, 1.5]"
40,EQUALPOLF2_W36,"Which of these two statements comes closer to your own view, even if neither is exactly right?","['As more women run for office, it is only a matter of time before there are as many women as men in high political offices', 'Even as more women run for office, men will continue to hold more high political offices in the future', 'Refused']","[1.0, 2.0]"
41,EQUALBIZF2_W36,"Which of these two statements comes closer to your own view, even if neither is exactly right?","['As more women move into management roles, it is only a matter of time before there are as many women as men in top executive positions in business', 'Even as more women move into management roles, men will continue to hold more top executive positions in business in the future', 'Refused']","[1.0, 2.0]"
42,IMPROVE1_W36,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for women?","['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
43,IMPROVE2_W36,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for men?","['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
44,IMPROVE3_W36,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for everyone?","['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
45,WHYNOTPOLF1A_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Many people aren't ready to elect a woman to higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
46,WHYNOTPOLF1B_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Women in politics face gender discrimination,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
47,WHYNOTPOLF1C_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Family responsibilities make it harder for women to run for higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
48,WHYNOTPOLF1D_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Women aren't tough enough for politics,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
49,WHYNOTPOLF1E_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Fewer women have the experience required for higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
50,WHYNOTPOLF1F_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Women get less support from party leaders,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
51,WHYNOTPOLF1G_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Women who run for office are held to higher standards than men,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
52,WHYNOTPOLF1H_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Women who run for office have to more to prove themselves than men,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
53,WHYNOTPOLF1I_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Not as many women are interested in holding higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
54,WHYNOTPOLF1J_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Women aren't encouraged to pursue leadership positions from an early age,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
55,WHYNOTPOLF1K_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Women don't do as good of a job selling their accomplishments,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
56,WHYNOTPOLF1L_W36,Please indicate whether you think the following is a reason why there are fewer women than men in high political offices. Sexual harassment creates an environment that makes it harder for women to succeed in politics,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
57,WHYNOTBIZF2A_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Many businesses are not ready to hire women for top executive positions,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
58,WHYNOTBIZF2B_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women in business face gender discrimination,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
59,WHYNOTBIZF2C_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Family responsibilities make it harder for women to move up in business,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
60,WHYNOTBIZF2D_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women aren't tough enough for business,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
61,WHYNOTBIZF2F_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women don't make as good managers as men,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
62,WHYNOTBIZF2G_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women are held to higher standards than men,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
63,WHYNOTBIZF2H_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women have to do more to prove themselves than men,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
64,WHYNOTBIZF2I_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Not as many women are interested in top executive business positions,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
65,WHYNOTBIZF2J_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women aren't encouraged to pursue leadership positions from an early age,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
66,WHYNOTBIZF2K_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women don't do as good of a job selling their accomplishments,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
67,WHYNOTBIZF2L_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women don't have access to the same kinds of personal networks and connections that men have,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
68,WHYNOTBIZF2M_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women have fewer opportunities to interact with people in senior positions outside of work,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
69,WHYNOTBIZF2N_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Women are less likely than men to ask for promotions and raises,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
70,WHYNOTBIZF2O_W36,Please indicate whether you think the following is a reason why there aren't more women in top executive business positions. Sexual harassment creates an environment that makes it harder for women to succeed in business,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]"
71,BETTERPOL1F1A_W36,"In general, do you think men or women in high political offices are better at being honest and ethical?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
72,BETTERPOL1F1B_W36,"In general, do you think men or women in high political offices are better at being compassionate and empathetic?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
73,BETTERPOL1F1C_W36,"In general, do you think men or women in high political offices are better at working out compromises?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
74,BETTERPOL1F1D_W36,"In general, do you think men or women in high political offices are better at working well under pressure?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
75,BETTERPOL1F1E_W36,"In general, do you think men or women in high political offices are better at being willing to take risks?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
76,BETTERPOL1F1F_W36,"In general, do you think men or women in high political offices are better at standing up for what they believe in, despite political pressure?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
77,BETTERPOL1F1G_W36,"In general, do you think men or women in high political offices are better at being persuasive?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
78,BETTERPOL1F1H_W36,"In general, do you think men or women in high political offices are better at maintaining a tone of civility and respect in politics?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
79,BETTERPOL1F1I_W36,"In general, do you think men or women in high political offices are better at serving as a role model for children?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
80,BETTERPOL2F1A_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at handling economic conditions?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
81,BETTERPOL2F1B_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with social issues such as education and health care?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
82,BETTERPOL2F1C_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with immigration policy?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
83,BETTERPOL2F1D_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with national security and defense?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
84,BETTERPOL2F1E_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with the federal budget deficit?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
85,BETTERPOL2F1F_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with gun policy?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
86,BETTERBIZ1F2A_W36,"In general, do you think men or women in top executive business positions are better at being honest and ethical?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
87,BETTERBIZ1F2B_W36,"In general, do you think men or women in top executive business positions are better at being compassionate and empathetic?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
88,BETTERBIZ1F2C_W36,"In general, do you think men or women in top executive business positions are better at working out compromises?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
89,BETTERBIZ1F2D_W36,"In general, do you think men or women in top executive business positions are better at working well under pressure?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
90,BETTERBIZ1F2E_W36,"In general, do you think men or women in top executive business positions are better at being willing to take risks?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
91,BETTERBIZ1F2F_W36,"In general, do you think men or women in top executive business positions are better at valuing people from different backgrounds?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
92,BETTERBIZ1F2G_W36,"In general, do you think men or women in top executive business positions are better at providing fair pay and good benefits?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
93,BETTERBIZ1F2H_W36,"In general, do you think men or women in top executive business positions are better at negotiating profitable deals?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
94,BETTERBIZ1F2I_W36,"In general, do you think men or women in top executive business positions are better at considering the impact of business decisions on society?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
95,BETTERBIZ1F2J_W36,"In general, do you think men or women in top executive business positions are better at providing guidance or mentorship to young employees?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
96,BETTERBIZ1F2K_W36,"In general, do you think men or women in top executive business positions are better at creating a safe and respectful workplace?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
97,BETTERBIZ1F2L_W36,"In general, do you think men or women in top executive business positions are better at standing up for what they believe in, despite pressure to make a profit?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
98,BETTERBIZ2F2A_W36,"In general, do you think men or women would do a better job running a major technology company?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
99,BETTERBIZ2F2B_W36,"In general, do you think men or women would do a better job running a major retail chain?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
100,BETTERBIZ2F2C_W36,"In general, do you think men or women would do a better job running a large bank or financial institution?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
101,BETTERBIZ2F2D_W36,"In general, do you think men or women would do a better job running a large oil or gas company?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
102,BETTERBIZ2F2E_W36,"In general, do you think men or women would do a better job running a major hospital?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
103,BETTERBIZ2F2F_W36,"In general, do you think men or women would do a better job running a professional sports team?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
104,TRAITPOLWF1A_W36,"In general, how do you think being decisive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
105,TRAITPOLWF1B_W36,"In general, how do you think being compassionate impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
106,TRAITPOLWF1C_W36,"In general, how do you think being ambitious impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
107,TRAITPOLWF1D_W36,"In general, how do you think being approachable impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
108,TRAITPOLWF1E_W36,"In general, how do you think being assertive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
109,TRAITPOLWF1F_W36,"In general, how do you think showing emotions impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
110,TRAITPOLWF1G_W36,"In general, how do you think being physically attractive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
111,TRAITPOLMF1A_W36,"In general, how do you think being decisive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
112,TRAITPOLMF1B_W36,"In general, how do you think being compassionate impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
113,TRAITPOLMF1C_W36,"In general, how do you think being ambitious impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
114,TRAITPOLMF1D_W36,"In general, how do you think being approachable impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
115,TRAITPOLMF1E_W36,"In general, how do you think being assertive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
116,TRAITPOLMF1F_W36,"In general, how do you think showing emotions impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
117,TRAITPOLMF1G_W36,"In general, how do you think being physically attractive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
118,POLCHF1_W36,"In general, what do you think is better for a woman who wants to reach high political office?","['Having children before she enters politics', 'Waiting until she is well-established in her political career to have children', 'Not having children at all', 'Refused']","[1.0, 2.0, 3.0]"
119,TRAITBIZWF2A_W36,"In general, how do you think being decisive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
120,TRAITBIZWF2B_W36,"In general, how do you think being compassionate impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
121,TRAITBIZWF2C_W36,"In general, how do you think being ambitious impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
122,TRAITBIZWF2D_W36,"In general, how do you think being approachable impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
123,TRAITBIZWF2E_W36,"In general, how do you think being assertive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
124,TRAITBIZWF2F_W36,"In general, how do you think showing emotions impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
125,TRAITBIZWF2G_W36,"In general, how do you think being physically attractive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
126,TRAITBIZMF2A_W36,"In general, how do you think being decisive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
127,TRAITBIZMF2B_W36,"In general, how do you think being compassionate impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
128,TRAITBIZMF2C_W36,"In general, how do you think being ambitious impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
129,TRAITBIZMF2D_W36,"In general, how do you think being approachable impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
130,TRAITBIZMF2E_W36,"In general, how do you think being assertive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
131,TRAITBIZMF2F_W36,"In general, how do you think showing emotions impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
