id;key;option;likert_question;scale
6;MASC1F1_W29;Neither;Thinking about how society sees men these days, in general, would you say most people look up to or look down on men who are manly or masculine? To what extent do you agree with the following statement: Society's view of men who are manly or masculine is neither positive nor negative. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
7;MASC2AF1_W29;Good thing;Do you think it's a good thing or a bad thing that most people in society look up to men who are manly or masculine? To what extent do you agree with the following statement: It is a good thing that most people in society look up to men who are manly or masculine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
7;MASC2AF1_W29;Bad thing;Do you think it's a good thing or a bad thing that most people in society look up to men who are manly or masculine? To what extent do you agree with the following statement: It is a bad thing that most people in society look up to men who are manly or masculine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
8;MASC2BF1_W29;Good thing;Do you think it's a good thing or a bad thing that most people in society look down on men who are manly or masculine? To what extent do you agree with the following statement: It is a good thing that most people in society look down on men who are manly or masculine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
8;MASC2BF1_W29;Bad thing;Do you think it's a good thing or a bad thing that most people in society look down on men who are manly or masculine? To what extent do you agree with the following statement: It is a bad thing that most people in society look down on men who are manly or masculine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
9;FEM1F2_W29;Most people look up to women who are womanly or feminine;Thinking about how society sees women these days, in general, would you say most people look up to women who are womanly or feminine? To what extent do you agree with the following statement: Most people look up to women who are womanly or feminine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
9;FEM1F2_W29;Most people look down on women who are womanly or feminine;Thinking about how society sees women these days, in general, would you say most people look down on women who are womanly or feminine? To what extent do you agree with the following statement: Most people look down on women who are womanly or feminine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
9;FEM1F2_W29;Neither;Thinking about how society sees women these days, in general, would you say most people look up to or look down on women who are womanly or feminine? To what extent do you agree with the following statement: Society's view of women who are womanly or feminine is neither positive nor negative. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
10;FEM2AF2_W29;Good thing;Do you think it's a good thing or a bad thing that most people in society look up to women who are womanly or feminine? To what extent do you agree with the following statement: It is a good thing that most people in society look up to women who are womanly or feminine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
10;FEM2AF2_W29;Bad thing;Do you think it's a good thing or a bad thing that most people in society look up to women who are womanly or feminine? To what extent do you agree with the following statement: It is a bad thing that most people in society look up to women who are womanly or feminine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
11;FEM2BF2_W29;Good thing;Do you think it's a good thing or a bad thing that most people in society look down on women who are womanly or feminine? To what extent do you agree with the following statement: It is a good thing that most people in society look down on women who are womanly or feminine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
11;FEM2BF2_W29;Bad thing;Do you think it's a good thing or a bad thing that most people in society look down on women who are womanly or feminine? To what extent do you agree with the following statement: It is a bad thing that most people in society look down on women who are womanly or feminine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
12;MAN1A_W29;A lot;In general, how much pressure, if any, do you think men face these days to be interested in sports? To what extent do you agree with the following statement: Men face a lot of pressure these days to be interested in sports. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
12;MAN1A_W29;Some;In general, how much pressure, if any, do you think men face these days to be interested in sports? To what extent do you agree with the following statement: Men face some pressure these days to be interested in sports. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
12;MAN1A_W29;Not too much;In general, how much pressure, if any, do you think men face these days to be interested in sports? To what extent do you agree with the following statement: Men do not face too much pressure these days to be interested in sports. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
12;MAN1A_W29;None at all;In general, how much pressure, if any, do you think men face these days to be interested in sports? To what extent do you agree with the following statement: Men face no pressure at all to be interested in sports. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
13;MAN1B_W29;A lot;In general, how much pressure, if any, do you think men face these days to have many sexual partners? To what extent do you agree with the following statement: Men face a lot of pressure these days to have many sexual partners. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
13;MAN1B_W29;Some;In general, how much pressure, if any, do you think men face these days to have many sexual partners? To what extent do you agree with the following statement: Men face some pressure these days to have many sexual partners. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
13;MAN1B_W29;Not too much;In general, how much pressure, if any, do you think men face these days to have many sexual partners? To what extent do you agree with the following statement: Men do not face too much pressure these days to have many sexual partners. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
13;MAN1B_W29;None at all;In general, how much pressure, if any, do you think men face these days to have many sexual partners? To what extent do you agree with the following statement: Men face no pressure at all to have many sexual partners. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
14;MAN1C_W29;A lot;In general, how much pressure, if any, do you think men face these days to join in when other men are talking about women in a sexual way? To what extent do you agree with the following statement: Men face a lot of pressure to join in when other men are talking about women in a sexual way. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
14;MAN1C_W29;Some;In general, how much pressure, if any, do you think men face these days to join in when other men are talking about women in a sexual way? To what extent do you agree with the following statement: Men face some pressure to join in when other men are talking about women in a sexual way. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
14;MAN1C_W29;Not too much;In general, how much pressure, if any, do you think men face these days to join in when other men are talking about women in a sexual way? To what extent do you agree with the following statement: Men do not face too much pressure to join in when other men are talking about women in a sexual way. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
14;MAN1C_W29;None at all;In general, how much pressure, if any, do you think men face these days to join in when other men are talking about women in a sexual way? To what extent do you agree with the following statement: Men face no pressure at all to join in when other men are talking about women in a sexual way. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
15;MAN1D_W29;A lot;In general, how much pressure, if any, do you think men face these days to be willing to throw a punch if provoked? To what extent do you agree with the following statement: Men face a lot of pressure to be willing to throw a punch if provoked. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
15;MAN1D_W29;Some;In general, how much pressure, if any, do you think men face these days to be willing to throw a punch if provoked? To what extent do you agree with the following statement: Men face some pressure to be willing to throw a punch if provoked. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
15;MAN1D_W29;Not too much;In general, how much pressure, if any, do you think men face these days to be willing to throw a punch if provoked? To what extent do you agree with the following statement: Men do not face too much pressure to be willing to throw a punch if provoked. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
15;MAN1D_W29;None at all;In general, how much pressure, if any, do you think men face these days to be willing to throw a punch if provoked? To what extent do you agree with the following statement: Men face no pressure at all to be willing to throw a punch if provoked. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
16;MAN1E_W29;A lot;In general, how much pressure, if any, do you think men face these days to be emotionally strong? To what extent do you agree with the following statement: Men face a lot of pressure these days to be emotionally strong. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
16;MAN1E_W29;Some;In general, how much pressure, if any, do you think men face these days to be emotionally strong? To what extent do you agree with the following statement: Men face some pressure these days to be emotionally strong. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
16;MAN1E_W29;Not too much;In general, how much pressure, if any, do you think men face these days to be emotionally strong? To what extent do you agree with the following statement: Men do not face too much pressure these days to be emotionally strong. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
16;MAN1E_W29;None at all;In general, how much pressure, if any, do you think men face these days to be emotionally strong? To what extent do you agree with the following statement: Men face no pressure at all to be emotionally strong. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
17;BOYSF1A_W29;Too much emphasis;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to be leaders these days, or is it about right? To what extent do you agree with the following statement: There is too much emphasis on encouraging boys to be leaders these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
17;BOYSF1A_W29;Too little emphasis;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to be leaders these days, or is it about right? To what extent do you agree with the following statement: There is too little emphasis on encouraging boys to be leaders these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
17;BOYSF1A_W29;About right;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to be leaders these days, or is it about right? To what extent do you agree with the following statement: The emphasis on encouraging boys to be leaders is about right. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
18;BOYSF1B_W29;Too much emphasis;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right? To what extent do you agree with the following statement: There is too much emphasis on encouraging boys to talk about their feelings when they are sad or upset these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
18;BOYSF1B_W29;Too little emphasis;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right? To what extent do you agree with the following statement: There is too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
18;BOYSF1B_W29;About right;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right? To what extent do you agree with the following statement: The emphasis on encouraging boys to talk about their feelings when they are sad or upset is about right. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
19;BOYSF1C_W29;Too much emphasis;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to stand up for themselves these days, or is it about right? To what extent do you agree with the following statement: There is too much emphasis on encouraging boys to stand up for themselves these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
19;BOYSF1C_W29;Too little emphasis;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to stand up for themselves these days, or is it about right? To what extent do you agree with the following statement: There is too little emphasis on encouraging boys to stand up for themselves these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
19;BOYSF1C_W29;About right;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to stand up for themselves these days, or is it about right? To what extent do you agree with the following statement: The emphasis on encouraging boys to stand up for themselves is about right. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
20;BOYSF1D_W29;Too much emphasis;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to do well in school these days, or is it about right? To what extent do you agree with the following statement: There is too much emphasis on encouraging boys to do well in school these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
20;BOYSF1D_W29;Too little emphasis;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to do well in school these days, or is it about right? To what extent do you agree with the following statement: There is too little emphasis on encouraging boys to do well in school these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
20;BOYSF1D_W29;About right;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to do well in school these days, or is it about right? To what extent do you agree with the following statement: The emphasis on encouraging boys to do well in school is about right. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
21;GIRLSF2A_W29;Too much emphasis;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to be leaders these days, or is it about right? To what extent do you agree with the following statement: There is too much emphasis on encouraging girls to be leaders these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
21;GIRLSF2A_W29;Too little emphasis;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to be leaders these days, or is it about right? To what extent do you agree with the following statement: There is too little emphasis on encouraging girls to be leaders these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
21;GIRLSF2A_W29;About right;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to be leaders these days, or is it about right? To what extent do you agree with the following statement: The emphasis on encouraging girls to be leaders is about right. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
22;GIRLSF2B_W29;Too much emphasis;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days, or is it about right? To what extent do you agree with the following statement: There is too much emphasis on encouraging girls to talk about their feelings when they are sad or upset these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
22;GIRLSF2B_W29;Too little emphasis;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days, or is it about right? To what extent do you agree with the following statement: There is too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
22;GIRLSF2B_W29;About right;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days, or is it about right? To what extent do you agree with the following statement: The emphasis on encouraging girls to talk about their feelings when they are sad or upset is about right. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
23;GIRLSF2C_W29;Too much emphasis;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right? To what extent do you agree with the following statement: There is too much emphasis on encouraging girls to stand up for themselves these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
23;GIRLSF2C_W29;Too little emphasis;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right? To what extent do you agree with the following statement: There is too little emphasis on encouraging girls to stand up for themselves. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
23;GIRLSF2C_W29;About right;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right? To what extent do you agree with the following statement: The emphasis on encouraging girls to stand up for themselves is about right. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
24;GIRLSF2D_W29;Too much emphasis;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right? To what extent do you agree with the following statement: There is too much emphasis on encouraging girls to do well in school these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
24;GIRLSF2D_W29;Too little emphasis;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right? To what extent do you agree with the following statement: There is too little emphasis on encouraging girls to do well in school these days. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
24;GIRLSF2D_W29;About right;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right? To what extent do you agree with the following statement: The emphasis on encouraging girls to do well in school is about right. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
25;HARASS1A_W32;Major problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is? To what extent do you agree with the following statement: Women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is a major problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
25;HARASS1A_W32;Minor problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is? To what extent do you agree with the following statement: Women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is a minor problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
25;HARASS1A_W32;Not a problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is? To what extent do you agree with the following statement: Women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is not a problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
26;HARASS1B_W32;Major problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding out all the facts are? To what extent do you agree with the following statement: Employers firing men who have been accused of sexual harassment or assault before finding out all the facts is a major problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
26;HARASS1B_W32;Minor problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding out all the facts are? To what extent do you agree with the following statement: Employers firing men who have been accused of sexual harassment or assault before finding out all the facts is a minor problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
26;HARASS1B_W32;Not a problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding out all the facts are? To what extent do you agree with the following statement: Employers firing men who have been accused of sexual harassment or assault before finding out all the facts is not a problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
27;HARASS1C_W32;Major problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is? To what extent do you agree with the following statement: Men getting away with committing sexual harassment or assault is a major problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
27;HARASS1C_W32;Minor problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is? To what extent do you agree with the following statement: Men getting away with committing sexual harassment or assault is a minor problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
27;HARASS1C_W32;Not a problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is? To what extent do you agree with the following statement: Men getting away with committing sexual harassment or assault is not a problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
28;HARASS1D_W32;Major problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is? To what extent do you agree with the following statement: Women not being believed when they claim that they have experienced sexual harassment or assault is a major problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
28;HARASS1D_W32;Minor problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is? To what extent do you agree with the following statement: Women not being believed when they claim that they have experienced sexual harassment or assault is a minor problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
28;HARASS1D_W32;Not a problem;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is? To what extent do you agree with the following statement: Women not being believed when they claim that they have experienced sexual harassment or assault is not a problem. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
29;HARASS2F1_W32;More opportunities for women in the workplace;In the long run, do you think the increased focus on sexual harassment and assault will lead to more opportunities for women in the workplace? To what extent do you agree with the following statement: The increased focus on sexual harassment and assault will lead to more opportunities for women in the workplace. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
29;HARASS2F1_W32;Fewer opportunities for women in the workplace;In the long run, do you think the increased focus on sexual harassment and assault will lead to fewer opportunities for women in the workplace? To what extent do you agree with the following statement: The increased focus on sexual harassment and assault will lead to fewer opportunities for women in the workplace. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
29;HARASS2F1_W32;Won't make much of a difference;In the long run, do you think the increased focus on sexual harassment and assault will lead to more or fewer opportunities for women in the workplace? To what extent do you agree with the following statement: The increased focus on sexual harassment and assault won't make much of a difference in the long run. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
